                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    2720                                     1442                  1.0000000000000000E+000                  2.0000000000000000E-002                  5.7538049890772451E+005                  7.0938523544768933E-004                  2.3078302402716354E+005                  3.3926916826676257E+004                  1.1537808169262967E-001                  3.5050686818471911E+002                  1.0261112398380226E-045                  8.8126335625622090E-026                  8.3735079020268350E-025                  3.5592138125210626E-001                  1.8543779465639304E-021                  6.1896034002514477E-001                  1.9808078089244955E-002                  1.0000059283859164E+000                 -1.0561141660333991E-005                  9.4515971182928712E-007                  3.9124569152095106E-015                  4.4168821409731282E-006                  3.7753898653346091E-001                  4.3279246369672831E-007                  5.9711631504515006E-001                  2.0089256625734311E-002                  1.0000028377369481E+000                  9.9999851188471156E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000059283076359E+000                  1.1357510258339799E-001                  3.9238938943596258E+002                  5.9967643108262655E+003                  2.9475296369979181E+005                  1.4692318263929847E+004                  1.4692049646403944E+004                  3.5519931356198627E-014                  9.9882426882927939E+002                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                 velocity                                      eta                                       mu                                    grada                                  eps_nuc                              non_nuc_neu                                 eps_grav                                    gradT                                    gradr                                     mass                                       h1                                      he3                                      he4                                      c12                                      c13                                      n13                                      n14                                      n15                                      o14                                      o15                                      o16                                      o17                                      o18                                      f17                                      f18                                      f19                                     ne18                                     ne19                                     ne20                                     ne22                                     mg22                                     mg24                                     mg26                                     fe56                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                    other 
                                       1                  5.6643818383593301E+000                 -5.5775488592088109E+000                  8.4361404173826227E+000                 -9.3787668601603946E-001                  3.3926916826676257E+004                  1.8234532039588416E+005                 -1.3959170728993200E+001                  6.4041341824026077E-001                  2.6452489903843396E-001                  2.5737086792093460E-019                  0.0000000000000000E+000                  7.9997603814957021E+012                  1.1447249287142780E+000                  1.1457355744718420E+000                  1.0000059283859164E+000                  6.6260136701665073E-001                  4.3607781013518138E-009                  3.0753440037353580E-001                  6.6953104625664197E-004                  2.2095155981329088E-004                  0.0000000000000000E+000                  1.3798272598016201E-002                  3.7956493905470146E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5755578396868063E-003                  9.0119113871982640E-005                  3.4286828127030126E-008                  0.0000000000000000E+000                  8.9617099028120132E-036                  6.7677648038446851E-007                  1.0000000000000000E-099                  1.0000000000000002E-099                  2.4980533801778016E-003                  1.5335034846340496E-004                  6.9298885158544185E-005                  1.2517251819220915E-003                  1.4535166275623474E-004                  4.3909260046647285E-003                  2.5730721966839656E-019                  6.3648252538016690E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  5.6757426430809783E+000                 -5.6056035821229440E+000                  8.4466392370258419E+000                 -9.3791573591876298E-001                  3.3923694729126466E+004                  1.8230471633419784E+005                 -1.4063235368022820E+001                  6.4038980066901252E-001                  2.6213020106854068E-001                  3.4659147341545269E-019                  0.0000000000000000E+000                  8.0248142661293564E+012                  1.0826199969522496E+000                  1.0834975572650494E+000                  1.0000059283851386E+000                  6.6260136701665073E-001                  4.3607781013518676E-009                  3.0753440037353580E-001                  6.6953104625664187E-004                  2.2095155981329085E-004                  0.0000000000000000E+000                  1.3798272598016201E-002                  3.7956493905470691E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5755578396868063E-003                  9.0119113871982640E-005                  3.4286828127030126E-008                  0.0000000000000000E+000                  8.9617154145721797E-036                  6.7677648038446851E-007                  1.0000000000000000E-099                  1.0000000000000002E-099                  2.4980533801778016E-003                  1.5335034846340496E-004                  6.9298885158544185E-005                  1.2517251819220915E-003                  1.4535166275623474E-004                  4.3909260046647285E-003                  3.4652782965480209E-019                  6.3643760650603743E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  5.6919859994721866E+000                 -5.6456981057326914E+000                  8.4654885141594090E+000                 -9.3801560264617134E-001                  3.3915949450740300E+004                  1.8219960309221590E+005                 -1.4212843934500381E+001                  6.4037652835799808E-001                  2.5922902937980424E-001                  5.2744734045266650E-019                  0.0000000000000000E+000                  7.4732881986227783E+012                  8.6111617332092749E-001                  8.6160309250712308E-001                  1.0000059283832745E+000                  6.6260136701665073E-001                  4.3607781013522647E-009                  3.0753440037353580E-001                  6.6953104625664143E-004                  2.2095155981329074E-004                  0.0000000000000000E+000                  1.3798272598016203E-002                  3.7956493905474656E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5755578396868063E-003                  9.0119113871982640E-005                  3.4286828127030126E-008                  0.0000000000000000E+000                  8.9617557200036358E-036                  6.7677648038446851E-007                  1.0000000000000000E-099                  1.0000000000000002E-099                  2.4980533801778016E-003                  1.5335034846340496E-004                  6.9298885158544185E-005                  1.2517251819220915E-003                  1.4535166275623474E-004                  4.3909260046647285E-003                  5.2738370291984828E-019                  6.3637532818289786E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  5.7050844634214881E+000                 -5.6757333369062328E+000                  8.4850316461133239E+000                 -9.3819431382168461E-001                  3.3904191547504706E+004                  1.8200852210802946E+005                 -1.4326926427086025E+001                  6.4036021899736406E-001                  2.5735812049507845E-001                  7.4034699249996666E-019                  0.0000000000000000E+000                  6.7890519264937568E+012                  6.7099242525218339E-001                  6.7127883114377984E-001                  1.0000059283802358E+000                  6.6260136701665073E-001                  4.3607781013533028E-009                  3.0753440037353580E-001                  6.6953104625663991E-004                  2.2095155981329036E-004                  0.0000000000000000E+000                  1.3798272598016203E-002                  3.7956493905485043E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5755578396868063E-003                  9.0119113871982640E-005                  3.4286828127030126E-008                  0.0000000000000000E+000                  8.9618611032252481E-036                  6.7677648038446851E-007                  1.0000000000000000E-099                  1.0000000000000002E-099                  2.4980533801778016E-003                  1.5335034846340496E-004                  6.9298885158544185E-005                  1.2517251819220915E-003                  1.4535166275623474E-004                  4.3909260046647285E-003                  7.4028335918611802E-019                  6.3633313848742129E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  5.7126433796927287E+000                 -5.6924446748445554E+000                  8.4978301601422821E+000                 -9.3833725220376896E-001                  3.3896228009100822E+004                  1.8185407119147712E+005                 -1.4390834818832163E+001                  6.4032710499762924E-001                  2.5643266023487660E-001                  8.9989543685691556E-019                  0.0000000000000000E+000                  6.5057426312825332E+012                  5.9159004331758613E-001                  5.9183007591484083E-001                  1.0000059283779705E+000                  6.6260136701665084E-001                  4.3607781013543078E-009                  3.0753440037353580E-001                  6.6953104625663850E-004                  2.2095155981329006E-004                  0.0000000000000000E+000                  1.3798272598016205E-002                  3.7956493905495101E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5755578396868063E-003                  9.0119113871982640E-005                  3.4286828127030126E-008                  0.0000000000000000E+000                  8.9619631981767967E-036                  6.7677648038446851E-007                  1.0000000000000002E-099                  1.0000000000000002E-099                  2.4980533801778016E-003                  1.5335034846340496E-004                  6.9298885158544185E-005                  1.2517251819220915E-003                  1.4535166275623474E-004                  4.3909260046647285E-003                  8.9983180560083052E-019                  6.3631256085123226E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  5.7170410908717120E+000                 -5.7020674351013687E+000                  8.5057213786082251E+000                 -9.3842483232068941E-001                  3.3891732321849246E+004                  1.8175892316835024E+005                 -1.4427861660098706E+001                  6.4029653926868457E-001                  2.5594376980452871E-001                  1.0076736634543774E-018                  0.0000000000000000E+000                  6.3928959514988516E+012                  5.5768731200608712E-001                  5.5791804647813614E-001                  1.0000059283766358E+000                  6.6260136701665084E-001                  4.3607781013550423E-009                  3.0753440037353580E-001                  6.6953104625663742E-004                  2.2095155981328979E-004                  0.0000000000000000E+000                  1.3798272598016208E-002                  3.7956493905502444E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5755578396868063E-003                  9.0119113871982640E-005                  3.4286828127030126E-008                  0.0000000000000000E+000                  8.9620377483175575E-036                  6.7677648038446841E-007                  1.0000000000000002E-099                  1.0000000000000002E-099                  2.4980533801778016E-003                  1.5335034846340496E-004                  6.9298885158544185E-005                  1.2517251819220915E-003                  1.4535166275623474E-004                  4.3909260046647285E-003                  1.0076100332812029E-018                  6.3630173174470469E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  5.7222119604144481E+000                 -5.7135114921977417E+000                  8.5153189552045614E+000                 -9.3848772236757216E-001                  3.3888631148875640E+004                  1.8169039489567137E+005                 -1.4471800797267983E+001                  6.4026237211397319E-001                  2.5540637363730856E-001                  1.1499803533372161E-018                  0.0000000000000000E+000                  6.3248244364172354E+012                  5.3783065036875710E-001                  5.3806114151108575E-001                  1.0000059283756988E+000                  6.6260136701665084E-001                  4.3607781013560258E-009                  3.0753440037353580E-001                  6.6953104625663612E-004                  2.2095155981328947E-004                  0.0000000000000000E+000                  1.3798272598016210E-002                  3.7956493905512280E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5755578396868063E-003                  9.0119113871982640E-005                  3.4286828127030126E-008                  0.0000000000000000E+000                  8.9621375442678864E-036                  6.7677648038446841E-007                  1.0000000000000002E-099                  1.0000000000000002E-099                  2.4980533801778016E-003                  1.5335034846340496E-004                  6.9298885158544185E-005                  1.2517251819220915E-003                  1.4535166275623474E-004                  4.3909260046647285E-003                  1.1499167243687186E-018                  6.3628968497418804E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  5.7287406144892072E+000                 -5.7273466637184480E+000                  8.5282494986935475E+000                 -9.3861741158807510E-001                  3.3882472838187867E+004                  1.8154859525779035E+005                 -1.4526406536541678E+001                  6.4021375197156472E-001                  2.5479276024407804E-001                  1.3593530746845620E-018                  0.0000000000000000E+000                  6.2178682955845781E+012                  5.0485651018595046E-001                  5.0509475976466245E-001                  1.0000059283738185E+000                  6.6260136701665084E-001                  4.3607781013575412E-009                  3.0753440037353580E-001                  6.6953104625663395E-004                  2.2095155981328898E-004                  0.0000000000000000E+000                  1.3798272598016212E-002                  3.7956493905527442E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5755578396868063E-003                  9.0119113871982640E-005                  3.4286828127030126E-008                  0.0000000000000000E+000                  8.9622914311023520E-036                  6.7677648038446841E-007                  1.0000000000000002E-099                  1.0000000000000002E-099                  2.4980533801778016E-003                  1.5335034846340496E-004                  6.9298885158544185E-005                  1.2517251819220915E-003                  1.4535166275623474E-004                  4.3909260046647285E-003                  1.3592894470012237E-018                  6.3627683338418045E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  5.7360604187490321E+000                 -5.7425804102014730E+000                  8.5435714378124192E+000                 -9.3876064013847582E-001                  3.3876002303442634E+004                  1.8139137625843674E+005                 -1.4586905373854989E+001                  6.4015901526433672E-001                  2.5418880384245801E-001                  1.6387658329099312E-018                  0.0000000000000000E+000                  6.1387923044713008E+012                  4.7708140321480019E-001                  4.7733659079174406E-001                  1.0000059283718086E+000                  6.6260136701665084E-001                  4.3607781013595414E-009                  3.0753440037353580E-001                  6.6953104625663113E-004                  2.2095155981328830E-004                  0.0000000000000000E+000                  1.3798272598016215E-002                  3.7956493905547458E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5755578396868063E-003                  9.0119113871982640E-005                  3.4286828127030126E-008                  0.0000000000000000E+000                  8.9624945778456051E-036                  6.7677648038446841E-007                  1.0000000000000002E-099                  1.0000000000000002E-099                  2.4980533801778016E-003                  1.5335034846340496E-004                  6.9298885158544185E-005                  1.2517251819220915E-003                  1.4535166275623474E-004                  4.3909260046647285E-003                  1.6387022064187374E-018                  6.3626491193709841E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
